cluster,keywords,representative_title,label,topics
0,"['electroencephalogram data', 'use electroencephalogram', 'electroencephalography eeg', 'eeg electroencephalography', 'electroencephalogram eeg']",Exploring High-and Low-Density Electroencephalography for a Dream Decoding Brain-Computer Interface,"electroencephalogram data, use electroencephalogram, electroencephalography eeg, eeg electroencephalography, electroencephalogram eeg | Exploring High-and Low-Density Electroencephalography for a Dream Decoding Brain-Computer Interface",Signal Processing / EEG
1,"['classification gait', 'gait analysis', 'based gait', 'movement based', 'acceleration data']",Sensor Positioning for Activity Recognition Using Multiple Accelerometer-Based Sensors,"classification gait, gait analysis, based gait, movement based, acceleration data | Sensor Positioning for Activity Recognition Using Multiple Accelerometer-Based Sensors",Machine Learning (Gait Analysis)
2,"['data drift', 'dynamic data', 'fast streaming', 'concept drift', 'data changes']",Choosing the Best Algorithm for an Incremental On-line Learning Task,"data drift, dynamic data, fast streaming, concept drift, data changes | Choosing the Best Algorithm for an Incremental On-line Learning Task",Data Streams / Concept Drift
3,"['deep graph', 'graph learning', 'graphs deep', 'graph level', 'graph structure']",Graph Representation Learning,"deep graph, graph learning, graphs deep, graph level, graph structure | Graph Representation Learning",Graph Learning / Graph Theory
4,"['urban mobility', 'mobility analytics', 'large urban', 'mobility data', 'urban data']",Machine learning and data mining for urban mobility intelligence,"urban mobility, mobility analytics, large urban, mobility data, urban data | Machine learning and data mining for urban mobility intelligence",Urban Mobility / Smart Cities
5,"['large text', 'large language', 'machine translation', 'text model', 'single sentence']",Language processing in the era of deep learning,"large text, large language, machine translation, text model, single sentence | Language processing in the era of deep learning","Deep Learning for NLP (Language Models, Translation)"
6,"['detection star', 'supernovae search', 'galaxy catalogue', 'scale galaxies', 'astronomical image']",Globular cluster detection in the Gaia survey,"detection star, supernovae search, galaxy catalogue, scale galaxies, astronomical image | Globular cluster detection in the Gaia survey",Astronomy / Computer Vision
7,"['detecting adversarial', 'adversarial networks', 'adversarial attack', 'sensitive adversarial', 'regular adversarial']",Towards Adversarial Attack Resistant Deep Neural Networks,"detecting adversarial, adversarial networks, adversarial attack, sensitive adversarial, regular adversarial | Towards Adversarial Attack Resistant Deep Neural Networks",Adversarial Machine Learning
8,"['network image', 'new regularizer', 'adversarial loss', 'image generation', 'imagenet']",Sliced-Wasserstein normalizing flows: beyond maximum likelihood training,"network image, new regularizer, adversarial loss, image generation, imagenet | Sliced-Wasserstein normalizing flows: beyond maximum likelihood training",Generative Models / Adversarial Training
9,"['segmentation deep', 'medical image', 'tumor segmentation', 'lesion segmentation', 'art segmentation']",Deep Semantic Segmentation Models in Computer Vision,"segmentation deep, medical image, tumor segmentation, lesion segmentation, art segmentation | Deep Semantic Segmentation Models in Computer Vision",Medical Imaging / Segmentation
10,"['neuronal dynamics', 'synaptic dynamics', 'architecture spiking', 'networks spiking', 'spiking networks']",Efficient Learning in Spiking Models,"neuronal dynamics, synaptic dynamics, architecture spiking, networks spiking, spiking networks | Efficient Learning in Spiking Models",Spiking Neural Networks / Computational Neuroscience
11,"['matrix quantization', 'vector quantization', 'feature space', 'matrix learning', 'high dimensional']",Learning Matrix Quantization and Variants of Relevance Learning,"matrix quantization, vector quantization, feature space, matrix learning, high dimensional | Learning Matrix Quantization and Variants of Relevance Learning",Vector & Matrix Quantization
12,"['policy learning', 'learning policy', 'learning policies', 'optimal sequence', 'planner learned']",Learning Control Under Uncertainty: A Probabilistic Value-Iteration Approach,"policy learning, learning policy, learning policies, optimal sequence, planner learned | Learning Control Under Uncertainty: A Probabilistic Value-Iteration Approach",Reinforcement Learning / Policy Optimization
13,"['robot control', 'robot command', 'problem robot', 'robot real', 'learning robot']",Hierarchical Reinforcement Learning for Robot Navigation,"robot control, robot command, problem robot, robot real, learning robot | Hierarchical Reinforcement Learning for Robot Navigation",Robotics & Control
14,"['wind forecasting', 'power forecasting', 'energy forecast', 'wind power', 'energy analytics']",A Kalman Filter and Neural Network Hybrid Approach for Health Monitoring of Aircraft Engines,"wind forecasting, power forecasting, energy forecast, wind power, energy analytics | A Kalman Filter and Neural Network Hybrid Approach for Health Monitoring of Aircraft Engines",Energy Forecasting / Wind Power
15,"['segmentation deepview', 'mesh cnns', '3d segmentation', 'segmentation plant', 'specially segmentation']",Visualizing and Improving 3D Mesh Segmentation with DeepView,"segmentation deepview, mesh cnns, 3d segmentation, segmentation plant, specially segmentation | Visualizing and Improving 3D Mesh Segmentation with DeepView",3D Image Segmentation / Plant Phenotyping
16,"['reservoir states', 'reservoir networks', 'reservoir state', 'reservoir dimension', 'reservoir memory']",Residual Reservoir Computing Neural Networks for Time-series Classification,"reservoir states, reservoir networks, reservoir state, reservoir dimension, reservoir memory | Residual Reservoir Computing Neural Networks for Time-series Classification",Reservoir Computing
17,"['structured learning', 'large sample', 'big', 'mining review', 'data mining']",Making machine learning models interpretable,"structured learning, large sample, big, mining review, data mining | Making machine learning models interpretable",Data Mining / Big Data Analytics
18,"['partial likelihood', 'large dataset', 'predictive problem', 'likelihood ratio', 'tree induction']",Structural Risk Minimization and Rademacher Complexity for Regression,"partial likelihood, large dataset, predictive problem, likelihood ratio, tree induction | Structural Risk Minimization and Rademacher Complexity for Regression","Machine Learning (Predictive Modeling, Likelihood)"
19,"['deep graph', 'deep networks', 'encoderdecoder structure', 'introduces deep', 'using deep']",Predicting Time Series with Space-Time Convolutional and Recurrent Neural Networks,"deep graph, deep networks, encoderdecoder structure, introduces deep, using deep | Predicting Time Series with Space-Time Convolutional and Recurrent Neural Networks",Deep Graph Learning
20,"['incremental deep', 'frame prediction', 'encoder', 'include deep', 'deep']",Towards incremental deep learning: multi-level change detection in a hierarchical recognition architecture,"incremental deep, frame prediction, encoder, include deep, deep | Towards incremental deep learning: multi-level change detection in a hierarchical recognition architecture",Deep Learning (Sequence Prediction)
21,"['machine learning', 'linear regression', 'function regression', 'function approximation', 'stochastic optimization']",Asymptotic statistics for multilayer perceptron with ReLu hidden units,"machine learning, linear regression, function regression, function approximation, stochastic optimization | Asymptotic statistics for multilayer perceptron with ReLu hidden units",Machine Learning (Regression & Optimization)
22,"['quantum learning', 'quantum machine', 'learning quantum', 'optimization quantum', 'problem quantum']",Quantum Machine Learning,"quantum learning, quantum machine, learning quantum, optimization quantum, problem quantum | Quantum Machine Learning",Quantum Machine Learning
23,"['recognition audio', 'speech recognition', 'automatic speech', 'language recognition', 'multi task']",Adversarials −1 in Speech Recognition: Detection and Defence,"recognition audio, speech recognition, automatic speech, language recognition, multi task | Adversarials −1 in Speech Recognition: Detection and Defence",Speech Recognition / Audio Processing
24,"['machine networks', 'structure prediction', 'large datasets', 'machine learning', 'prediction machine']",Advances in Learning with Kernels: Theory and Practice in a World of growing Constraints,"machine networks, structure prediction, large datasets, machine learning, prediction machine | Advances in Learning with Kernels: Theory and Practice in a World of growing Constraints",Network Structure Prediction
25,"['deep convolutional', 'highresolution image', 'using convolutional', 'convolutional networks', 'using deep']",Fusion of Stereo Vision for Pedestrian Recognition using Convolutional Neural Networks,"deep convolutional, highresolution image, using convolutional, convolutional networks, using deep | Fusion of Stereo Vision for Pedestrian Recognition using Convolutional Neural Networks",Convolutional Neural Networks (Computer Vision)
26,"['showing deep', 'pruning deep', 'algorithms deep', 'fast deep', 'deep']",ADLER -An efficient Hessian-based strategy for adaptive learning rate,"showing deep, pruning deep, algorithms deep, fast deep, deep | ADLER -An efficient Hessian-based strategy for adaptive learning rate",Neural Network Pruning / Model Compression
27,"['multiple embedding', 'neighborhood embedding', 'linear embedding', 'dimensional embedding', 'neighbor embedding']",Can MDS rival with t-SNE by using the symmetric Kullback-Leibler divergence across neighborhoods as a pseudo-distance?,"multiple embedding, neighborhood embedding, linear embedding, dimensional embedding, neighbor embedding | Can MDS rival with t-SNE by using the symmetric Kullback-Leibler divergence across neighborhoods as a pseudo-distance?",Dimensionality Reduction / Embeddings
28,"['data visualization', 'data structure', 'graph theory', 'graph visualization', 'clustering graph']",Visualizing the quality of dimensionality reduction,"data visualization, data structure, graph theory, graph visualization, clustering graph | Visualizing the quality of dimensionality reduction",Graph Visualization & Clustering
29,"['multispectral images', 'hyperspectral multispectral', 'multispectral sensing', 'resolution hyperspectral', 'multispectral sensor']",Multispectral Texture Classification in Agriculture,"multispectral images, hyperspectral multispectral, multispectral sensing, resolution hyperspectral, multispectral sensor | Multispectral Texture Classification in Agriculture",Machine Learning for Hyperspectral Imaging
30,"['matrix completion', 'sparsity transformation', 'high dimensional', 'sparse clustering', 'spectral clustering']",Nonnegative matrix factorization with polynomial signals via hierarchical alternating least squares,"matrix completion, sparsity transformation, high dimensional, sparse clustering, spectral clustering | Nonnegative matrix factorization with polynomial signals via hierarchical alternating least squares",Sparse Modeling / Spectral Clustering
31,"['clustering graph', 'graph partitioning', 'structure similarity', 'sparse clustering', 'spectral clustering']",On the equivalence between regularized NMF and similarity-augmented graph partitioning,"clustering graph, graph partitioning, structure similarity, sparse clustering, spectral clustering | On the equivalence between regularized NMF and similarity-augmented graph partitioning",Graph Partitioning & Spectral Methods
32,"['large datasets', 'large networks', 'big data', 'graph construction', 'large number']",PSCEG: An unbiased Parallel Subspace Clustering algorithm using Exact Grids,"large datasets, large networks, big data, graph construction, large number | PSCEG: An unbiased Parallel Subspace Clustering algorithm using Exact Grids",Large-Scale Graph Analysis
33,"['clustering structure', 'clustering process', 'clustering method', 'hierarchical clustering', 'clustering results']",Hybrid Hierarchical Clustering: Cluster Assessment via Cluster Validation Indices,"clustering structure, clustering process, clustering method, hierarchical clustering, clustering results | Hybrid Hierarchical Clustering: Cluster Assessment via Cluster Validation Indices",Clustering Algorithms (Hierarchical & Others)
34,"['causal inference', 'causal structure', 'causal learning', 'causal decomposition', 'causal path']",A Novel Principle for Causal Inference in Data with Small Error Variance,"causal inference, causal structure, causal learning, causal decomposition, causal path | A Novel Principle for Causal Inference in Data with Small Error Variance",Causal Inference & Causal Learning
35,"['sparse lssvm', 'sparse squares', 'linear sparse', 'optimization problem', 'sparse minimal']",A robust regularization path for the Doubly Regularized Support Vector Machine,"sparse lssvm, sparse squares, linear sparse, optimization problem, sparse minimal | A robust regularization path for the Doubly Regularized Support Vector Machine",Sparse Linear Models / Optimization
36,"['feature selection', 'selection classification', 'multiple classifier', 'multi label', 'selection subset']",Do we need hundreds of classifiers or a good feature selection?,"feature selection, selection classification, multiple classifier, multi label, selection subset | Do we need hundreds of classifiers or a good feature selection?",Feature Selection & Multi-Label Classification
