component_size,num_affiliations,top_affiliations
1101,0,[]
163,0,[]
121,0,[]
45,0,[]
44,0,[]
36,0,[]
25,0,[]
22,0,[]
21,0,[]
20,0,[]
18,0,[]
17,0,[]
16,0,[]
15,0,[]
14,0,[]
14,0,[]
14,0,[]
13,0,[]
13,0,[]
12,0,[]
12,0,[]
12,0,[]
11,0,[]
11,0,[]
11,0,[]
11,0,[]
10,0,[]
10,0,[]
10,0,[]
10,0,[]
10,0,[]
10,0,[]
10,0,[]
10,0,[]
10,0,[]
10,0,[]
9,0,[]
9,0,[]
9,0,[]
9,0,[]
9,0,[]
9,0,[]
9,0,[]
8,0,[]
8,0,[]
8,0,[]
8,0,[]
8,0,[]
8,0,[]
8,0,[]
8,0,[]
8,0,[]
8,0,[]
8,0,[]
8,0,[]
8,0,[]
8,0,[]
7,0,[]
7,0,[]
7,0,[]
7,0,[]
7,0,[]
7,0,[]
7,0,[]
7,0,[]
7,0,[]
7,0,[]
7,0,[]
7,0,[]
7,0,[]
6,0,[]
6,0,[]
6,0,[]
6,0,[]
6,0,[]
6,0,[]
6,0,[]
6,0,[]
6,0,[]
6,0,[]
6,0,[]
6,0,[]
6,0,[]
6,0,[]
6,0,[]
6,0,[]
6,0,[]
6,0,[]
6,0,[]
6,0,[]
6,0,[]
6,0,[]
6,0,[]
6,0,[]
6,0,[]
6,0,[]
6,0,[]
6,0,[]
6,0,[]
6,0,[]
6,0,[]
6,0,[]
6,0,[]
6,0,[]
6,0,[]
6,0,[]
6,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
5,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
4,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
3,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
2,0,[]
1,0,[]
1,0,[]
1,0,[]
1,0,[]
1,0,[]
1,0,[]
1,0,[]
1,0,[]
1,0,[]
1,0,[]
1,0,[]
1,0,[]
1,0,[]
1,0,[]
1,0,[]
1,0,[]
1,0,[]
1,0,[]
1,0,[]
1,0,[]
1,0,[]
1,0,[]
1,0,[]
1,0,[]
1,0,[]
1,0,[]
1,0,[]
1,0,[]
1,0,[]
1,0,[]
1,0,[]
1,0,[]
1,0,[]
1,0,[]
1,0,[]
1,0,[]
