Year1,Community1,Year2,Community2,Jaccard,Size1,Size2
2010,0,2011,44,1.0,2,2
2010,34,2011,2,0.2413793103448276,16,20
2010,9,2011,3,0.6666666666666666,3,2
2010,13,2011,9,0.5,3,3
2010,20,2011,18,0.25,13,12
2010,37,2011,13,0.5,3,3
2010,38,2011,32,0.25,3,2
2010,50,2011,34,0.75,3,4
2011,3,2012,37,0.5,2,4
2011,9,2012,31,1.0,3,3
2011,13,2012,14,0.3333333333333333,3,5
2011,25,2012,9,0.5,2,4
2011,26,2012,42,0.3333333333333333,5,3
2011,39,2012,60,0.2857142857142857,3,6
2011,43,2012,49,0.4,7,14
2011,45,2012,53,1.0,3,3
2011,34,2012,66,0.8,4,5
2011,49,2012,34,0.8,4,5
2011,52,2012,23,0.2222222222222222,5,6
2012,44,2013,60,0.36363636363636365,9,6
2012,49,2013,23,0.3,14,12
2012,21,2013,49,0.3,9,4
2012,24,2013,19,0.25,3,2
2012,29,2013,35,0.23529411764705882,10,11
2012,31,2013,53,0.75,3,4
2012,37,2013,13,0.5,4,2
2012,40,2013,29,1.0,2,2
2012,41,2013,10,0.3333333333333333,2,2
2012,42,2013,12,0.375,3,8
2012,45,2013,18,0.25,2,3
2012,46,2013,32,0.2857142857142857,9,9
2012,58,2013,36,0.3333333333333333,2,2
2012,65,2013,6,0.75,3,4
2012,66,2013,8,0.26666666666666666,5,14
2013,0,2014,3,0.42857142857142855,6,4
2013,6,2014,46,0.75,4,3
2013,8,2014,13,0.2857142857142857,14,4
2013,10,2014,23,1.0,2,2
2013,19,2014,44,0.6666666666666666,2,3
2013,23,2014,18,0.4166666666666667,12,5
2013,25,2014,4,0.2857142857142857,7,11
2013,34,2014,69,0.5,3,3
2013,36,2014,36,0.25,2,3
2013,60,2014,6,0.2727272727272727,6,8
2013,53,2014,5,0.5,4,2
2014,0,2015,2,0.25,2,3
2014,26,2015,59,0.21428571428571427,9,8
2014,4,2015,37,0.23076923076923078,11,5
2014,7,2015,44,0.3076923076923077,12,5
2014,13,2015,31,0.375,4,7
2014,19,2015,7,0.25,2,3
2014,20,2015,22,0.25,2,8
2014,76,2015,26,0.6,9,7
2014,27,2015,17,0.3,3,10
2014,32,2015,28,0.2222222222222222,5,6
2014,40,2015,0,0.5,4,2
2014,6,2015,30,0.3,8,5
2014,50,2015,27,1.0,2,2
2014,59,2015,5,0.25,2,3
2014,63,2015,43,1.0,3,3
2014,65,2015,60,0.75,3,4
2014,67,2015,38,0.6666666666666666,3,2
2014,74,2015,2,0.25,2,3
2014,77,2015,56,0.6,5,3
2014,78,2015,55,0.25,3,2
2014,80,2015,36,0.5,3,3
2014,44,2015,25,1.0,3,3
2014,48,2015,48,0.6666666666666666,2,3
2014,21,2015,23,0.4,3,4
2015,0,2016,64,1.0,2,2
2015,4,2016,46,0.3333333333333333,3,5
2015,21,2016,43,0.25,2,3
2015,26,2016,6,0.36363636363636365,7,8
2015,33,2016,56,0.3333333333333333,2,2
2015,44,2016,0,0.6,5,3
2015,55,2016,35,0.25,2,3
2015,56,2016,28,0.4,3,4
2015,61,2016,52,0.5,3,3
2015,23,2016,19,0.3333333333333333,4,4
2016,6,2017,64,0.2727272727272727,8,6
2016,8,2017,19,0.3076923076923077,10,7
2016,8,2017,60,0.25,10,5
2016,11,2017,66,0.6666666666666666,9,6
2016,27,2017,45,0.23529411764705882,13,8
2016,21,2017,77,0.5,3,6
2016,24,2017,47,1.0,4,4
2016,28,2017,62,0.2857142857142857,4,5
2016,40,2017,13,0.2857142857142857,8,10
2016,38,2017,68,0.25,5,5
2016,50,2017,55,0.25,5,5
2016,58,2017,65,0.3333333333333333,3,5
2016,64,2017,22,1.0,2,2
2016,51,2017,3,0.42857142857142855,4,6
2017,10,2018,64,0.25,2,3
2017,14,2018,31,0.3333333333333333,2,2
2017,19,2018,21,0.2727272727272727,7,7
2017,19,2018,41,0.25,7,3
2017,29,2018,22,0.3333333333333333,2,2
2017,31,2018,71,0.375,8,3
2017,35,2018,65,1.0,2,2
2017,47,2018,69,0.5,4,5
2017,60,2018,21,0.3333333333333333,5,7
2017,62,2018,44,0.2857142857142857,5,4
2017,65,2018,61,1.0,5,5
2017,66,2018,20,0.6666666666666666,6,4
2017,70,2018,30,0.4,4,3
2017,12,2018,9,0.2727272727272727,8,6
2018,4,2019,61,0.6,5,3
2018,26,2019,6,0.21428571428571427,3,14
2018,47,2019,12,0.26666666666666666,9,10
2018,51,2019,38,0.25,4,6
2018,72,2019,62,0.6,3,5
2018,62,2019,19,0.2222222222222222,5,6
2019,1,2020,1,0.2727272727272727,6,8
2019,6,2020,34,0.35,14,13
2019,10,2020,36,1.0,3,3
2019,19,2020,75,0.2222222222222222,6,5
2019,22,2020,13,0.6666666666666666,2,3
2019,25,2020,29,0.4,4,3
2019,33,2020,53,0.6666666666666666,2,3
2019,49,2020,21,0.5,5,4
2019,62,2020,72,0.6,5,3
2020,2,2021,34,1.0,4,4
2020,4,2021,44,0.4,4,3
2020,6,2021,4,0.2222222222222222,9,24
2020,13,2021,51,0.25,3,2
2020,20,2021,24,1.0,2,2
2020,21,2021,0,0.23076923076923078,4,12
2020,29,2021,29,0.25,3,7
2020,30,2021,19,0.2222222222222222,5,6
2020,39,2021,56,0.2857142857142857,2,7
2020,43,2021,7,0.2857142857142857,5,4
2021,0,2022,45,0.3076923076923077,12,5
2021,15,2022,46,0.25,7,3
2021,4,2022,32,0.2564102564102564,24,25
2021,52,2022,26,0.23809523809523808,15,11
2021,32,2022,6,0.3333333333333333,3,5
2021,63,2022,23,0.25,2,3
2021,24,2022,4,0.3333333333333333,2,2
2022,0,2023,63,0.4,5,2
2022,32,2023,5,0.3783783783783784,25,26
2022,26,2023,31,0.2857142857142857,11,7
2022,29,2023,23,0.4,4,3
2022,35,2023,54,0.23076923076923078,5,11
2022,38,2023,49,0.25,3,7
2022,42,2023,8,0.6666666666666666,3,2
2023,5,2024,0,0.34210526315789475,26,25
2023,29,2024,59,0.25,11,4
2023,7,2024,15,0.3888888888888889,16,9
2023,15,2024,9,0.25,5,5
2023,40,2024,12,1.0,2,2
2023,51,2024,26,1.0,4,4
2023,61,2024,24,0.5,4,5
2024,2,2025,40,0.25,4,6
2024,3,2025,27,0.3333333333333333,3,5
2024,9,2025,18,0.2727272727272727,5,9
2024,11,2025,60,0.25,3,2
2024,12,2025,13,1.0,2,2
2024,15,2025,48,0.7,9,8
2024,18,2025,73,0.2857142857142857,2,7
2024,20,2025,76,0.6,4,4
2024,21,2025,15,0.4,7,7
2024,26,2025,51,1.0,4,4
2024,31,2025,38,0.3,9,4
2024,34,2025,74,0.23076923076923078,7,9
2024,53,2025,68,1.0,2,2
2024,56,2025,39,0.3333333333333333,2,2
2024,60,2025,30,0.6,4,4
2024,70,2025,11,0.42857142857142855,4,6
